[Thu Jun 18 17:50:26.188965 2020] [mpm_prefork:notice] [pid 23] AH00163: Apache/2.4.29 (Ubuntu) configured -- resuming normal operations
[Thu Jun 18 17:50:26.189180 2020] [core:notice] [pid 23] AH00094: Command line: '/usr/sbin/apache2'
[Fri Jun 19 14:04:49.813764 2020] [php7:notice] [pid 26] [client 172.19.0.1:52392] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 44, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:15.138795 2020] [php7:notice] [pid 35] [client 172.19.0.1:52440] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 25, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:15.144867 2020] [php7:notice] [pid 35] [client 172.19.0.1:52440] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 36, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:57.568632 2020] [php7:notice] [pid 30] [client 172.19.0.1:52462] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:57.570107 2020] [php7:notice] [pid 30] [client 172.19.0.1:52462] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 37, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:59.011231 2020] [php7:notice] [pid 30] [client 172.19.0.1:52462] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:59.013216 2020] [php7:notice] [pid 30] [client 172.19.0.1:52462] PHP Notice:  Undefined variable: username in /var/www/html/index.php on line 37, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:05:59.013286 2020] [php7:notice] [pid 30] [client 172.19.0.1:52462] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 45, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:12.710190 2020] [php7:notice] [pid 28] [client 172.19.0.1:52488] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:12.712711 2020] [php7:notice] [pid 28] [client 172.19.0.1:52488] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 45, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:12.712813 2020] [php7:notice] [pid 28] [client 172.19.0.1:52488] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 59, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:12.712894 2020] [php7:notice] [pid 28] [client 172.19.0.1:52488] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 62, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:12.712979 2020] [php7:warn] [pid 28] [client 172.19.0.1:52488] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 62, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:14.864693 2020] [php7:notice] [pid 36] [client 172.19.0.1:52498] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:14.866025 2020] [php7:notice] [pid 36] [client 172.19.0.1:52498] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 45, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:14.866063 2020] [php7:notice] [pid 36] [client 172.19.0.1:52498] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 59, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:14.866074 2020] [php7:notice] [pid 36] [client 172.19.0.1:52498] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 62, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:14.866106 2020] [php7:warn] [pid 36] [client 172.19.0.1:52498] PHP Warning:  mysqli::query(): Empty query in /var/www/html/index.php on line 62, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:22.848948 2020] [php7:notice] [pid 27] [client 172.19.0.1:52512] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 26, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:22.851777 2020] [php7:notice] [pid 27] [client 172.19.0.1:52512] PHP Notice:  Undefined variable: POST in /var/www/html/index.php on line 45, referer: http://127.0.0.1:4444/index.php
[Fri Jun 19 14:06:22.851861 2020] [php7:notice] [pid 27] [client 172.19.0.1:52512] PHP Notice:  Undefined variable: sql in /var/www/html/index.php on line 59, referer: http://127.0.0.1:4444/index.php
